,0,1,2,3,4,5,6,7,8,9
0,"['D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']"
1,"['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']"
2,"['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']"
3,"['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']"
4,"['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']"
5,"['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']"
6,"['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']"
7,"['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']"
8,"['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']"
9,"['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']"
10,"['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'G']"
11,"['D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'A']"
12,"['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']"
13,"['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']"
14,"['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']"
15,"['D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
16,"['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']"
17,"['D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']"
18,"['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']"
19,"['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']"
20,"['D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']"
21,"['D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']"
22,"['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'A']"
23,"['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']"
24,"['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']"
25,"['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
26,"['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']"
27,"['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']"
28,"['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'G']"
29,"['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
30,"['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']"
31,"['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
32,"['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']"
