0,1,2,3,4,5,6,7,8,9
"['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']"
"['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']"
"['D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']"
"['D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']"
"['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
"['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']"
"['D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']"
"['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']"
"['D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']"
"['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']"
"['D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']"
"['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']"
"['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']"
"['D', 'C', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']"
"['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'A']"
"['D', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']"
"['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'G']"
"['D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'F', 'E', 'F', 'G']"
"['D', 'E', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'B', 'A']","['D', 'E', 'F', 'G']","['D', 'C', 'B', 'A']","['D', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'E', 'D', 'C', 'D', 'C', 'B', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'F', 'G']","['D', 'C', 'D', 'C', 'B', 'A']"
"['D', 'C', 'B', 'C', 'B', 'A']","['D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'D', 'E', 'F', 'G']","['D', 'E', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'C', 'B', 'A']","['D', 'C', 'D', 'E', 'D', 'C', 'D', 'C', 'B', 'A']","['D', 'E', 'D', 'C', 'B', 'C', 'B', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'E', 'F', 'E', 'F', 'E', 'D', 'C', 'B', 'C', 'B', 'A']"
